fish_id,site_id,year,day,month,location,fish_num,species,length,height,Lep_cope,chalA,chalB,Lep_PAmale,Lep_PAfemale,Lep_male,Lep_nongravid,Lep_gravid,Caligus_cope,Caligus_mot,Caligus_gravid,unid_cope,chal_unid,unid_PA,unid_adult,chal_scar,pred_scar,mot_scar,hem,mateguarding,eroded_gill,blue_blotches,pinched_belly,scales,comments
4739,172,2006,25,3,Burdwood,,pink,31,,1,,,,,,0,,,,,,,,,,,,,,,,,,
4740,172,2006,25,3,Burdwood,,pink,31,,2,,,,,,0,,,,,,,,,,,,,,,,,,
4741,172,2006,25,3,Burdwood,,pink,32,,,,,,,,0,,,,,,,,,,,,,,,,,,
4742,172,2006,25,3,Burdwood,,pink,33,,,,,,,,0,,,,,,,,,,,,,,,,,,
4743,172,2006,25,3,Burdwood,,pink,37,,2,,,,,,0,,,,,,,,,,,,,,,,,,
4744,172,2006,25,3,Burdwood,,pink,38,,4,1,,,,,0,,,,,,,,,,,,,,,,,,
4745,172,2006,25,3,Burdwood,,pink,38,,1,4,,,,,0,,,,,,,,,,,,,,,,,,
4746,173,2006,25,3,Glacier,,chum,37,,1,,,,,,0,,,,,,,,,,,,,,,,,,
4747,173,2006,25,3,Glacier,,chum,38,,1,,,,,,0,,,,,,,,,,,,,,,,,,
4748,173,2006,25,3,Glacier,,chum,40,,2,1,,,,,0,,,,,,,,,,,,,,,,,,
4749,173,2006,25,3,Glacier,,chum,43,,1,,,,,,0,,,,,,,,,,,,,,,,,,
4750,173,2006,25,3,Glacier,,pink,32,,,,,,,,0,,,,,,,,,,,,,,,,,,
4751,173,2006,25,3,Glacier,,pink,32,,,,,,,,0,,,,,,,,,,,,,,,,,,
4752,173,2006,25,3,Glacier,,pink,32,,,,,,,,0,,,,,,,,,,,,,,,,,,
4753,173,2006,25,3,Glacier,,pink,32,,1,,,,,,0,,,,,,,,,,1,,,,,,,,fish strike
4754,173,2006,25,3,Glacier,,pink,32,,,,,,,,0,,,,,,,,,,,,,,,,,,
4755,173,2006,25,3,Glacier,,pink,32,,,,,,,,0,,,,,,,,,,,,,,,,,,
4756,173,2006,25,3,Glacier,,pink,32,,,,,,,,0,,,,,,,,,,,,,,,,,,
4757,173,2006,25,3,Glacier,,pink,32,,,,,,,,0,,,,,,,,,,,,,,,,,,
4758,173,2006,25,3,Glacier,,pink,32,,,,,,,,0,,,,,,,,,,,,,,,,,,
4759,173,2006,25,3,Glacier,,pink,32,,1,,,,,,0,,,,,,,,,,,,,,,,,,
4760,173,2006,25,3,Glacier,,pink,32,,,,,,,,0,,,,,,,,,,,,,,,,,,
4761,173,2006,25,3,Glacier,,pink,32,,,,,,,,0,,,,,,,,,,,,,,,,,,
4762,173,2006,25,3,Glacier,,pink,32,,,,,,,,0,,,,,,,,,,,,,,,,,,
4763,173,2006,25,3,Glacier,,pink,32,,,,,,,,0,,,,,,,,,,,,,,,,,,
4764,173,2006,25,3,Glacier,,pink,32,,,,,,,,0,,,,,,,,,,,,,,,,,,
4765,173,2006,25,3,Glacier,,pink,33,,,,,,,,0,,,,,,,,,,,,,,,,,,
4766,173,2006,25,3,Glacier,,pink,33,,,,,,,,0,,,,,,,,,,,,,,,,,,
4767,173,2006,25,3,Glacier,,pink,33,,,,,,,,0,,,,,,,,,,,,,,,,,,
4768,173,2006,25,3,Glacier,,pink,33,,,,,,,,0,,,,,,,,,,,,,,,,,,
4769,173,2006,25,3,Glacier,,pink,33,,,,,,,,0,,,,,,,,,,,,,,,,,,
4770,173,2006,25,3,Glacier,,pink,33,,,,,,,,0,,,,,,,,,,,,,,,,,,
4771,173,2006,25,3,Glacier,,pink,33,,1,,,,,,0,,,,,,,,,,,,,,,,,,
4772,173,2006,25,3,Glacier,,pink,33,,,,,,,,0,,,,,,,,,,,,,,,,,,
4773,173,2006,25,3,Glacier,,pink,33,,1,,,,,,0,,,,,,,,,,,,,,,,,,
4774,173,2006,25,3,Glacier,,pink,33,,,,,,,,0,,,,,,,,,,,,,,,,,,
4775,173,2006,25,3,Glacier,,pink,33,,,,,,,,0,,,,,,,,,,,,,,,,,,
4776,173,2006,25,3,Glacier,,pink,35,,,,,,,,0,,,,,,,,,,,,,,,,,,
4777,173,2006,25,3,Glacier,,pink,35,,,,,,,,0,,,,,,,,,,,,,,,,,,
