route,rep,Pk,Ck,Psc,Psh,Csc,Csh,PL,CL,f1,f2,f3,D,Lh_R,Lm_R
TR,1,0.0010206,0.00090849,0.24825,0.16015,0.23918,0.12714,1.1012,1.2566,8553.9,12407,15495,11.035,13.757,34.838
TR,2,0.0016,0.0015263,0.16853,0.22935,0.17648,0.17284,0.85477,1.0365,5987,12425,21308,25.094,10.061,58.693
TR,3,0.0104,0.0123,0.1025,0.2699,0.2015,0.1472,1.1842,1.2569,1968.36,6176.3,11989,26.6146,10.7429,51.0316
KN,1,0.00089181,0.001,0.2111,0.2003,0.152,0.189,1.0535,1.093,5876.5,17754,,15.8077,17.1323,61.4797
KN,2,0.001,0.0015,0.1259,0.503,0.1337,0.2491,1.1243,1.047,60.4567,21445,,36.0255,16.4983,58.3094
KN,3,0.0149,0.0248,0.1414,0.4052,0.1989,0.2168,0.9819,1.2922,28.0611,2611.4,,21.8827,12.44,32.4676
